identifier,version,Node ID,Revision ID,Revision Count,humanCodingScheme,P1 Notation,P2 Notation,P3 Notation,P4 Notation,P5 Notation,P6 Notation,P7 Notation,P8 Notation,P9 Notation,P1 Label,P2 Label,P3 Label,P4 Label,P5 Label,P6 Label,P7 Label,P8 Label,P9 Label,Statement Type,Education Level,Code,Label,fullstatement,concept keywords,Narrative,Notes,Statement Origin,ACT Original,Citations Text,Item Codes,Aligned CCSS/NGSS,Statement Tags,Order,Item Taxonomy Codes,Reporting Categories,Statement Subtype,Progression Group Number,Progression Group Label,Progression Group Level,Begin Grade,Errors and Misconceptions Text,Progression Citations,Errors Citations,Evidence Narrative,Passage/Stimulus Characteristics,Task Content Characteristics,Response and Interaction Characteristics,Key Non-targeted Constructs,Allowed Additional Skill Targets,Construct-Relevant Vocabulary,Vocabulary to Avoid,Task Narrative,Depth of Knowledge,Item Type,Available Tools,Specific Accessibility Concerns,Task Model Variables,Passage/Stimulus Specification,Common Errors and Misconceptions,Stem Requirements,Key and Distractor Requirements,Technology-Enhanced Interation Guidelines,Task Model Notes,Example items (codes or filenames),Example items (HTML),Rubric and Scoring Rules,Item Authoring Tips,Common Item Authoring Problems
7efd7566-21e9-4195-b1d5-96d0d3f94a82,2016-09-06 T12:54,74929,76102,1,H.A.MATH,H,A,,,,,,,,Holistic Framework,Core Academics,,,,,,,,MCB,,MATH,Math,,,,,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2db0182-15c4-4900-8ef2-08632a706ed8,2016-09-06 T12:54,74930,76103,1,H.A.MATH.NQ,H,A,MATH,,,,,,,Holistic Framework,Core Academics,Math,,,,,,,MCB,,NQ,Number and Quantity,"Relationships among number representations, including whole numbers, fractions, decimals, integers, rational and irrational numbers, complex numbers, and quantities represented in vectors and matrices.",,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f90678be-2c87-4775-b43d-7ceaae609a03,2016-09-06 T12:54,75054,76227,1,H.A.MATH.OAF,H,A,MATH,,,,,,,Holistic Framework,Core Academics,Math,,,,,,,MCB,,OAF,"Operations, Algebra, and Functions","Processes to perform operations with numbers, simplify expressions, and solve equations, and the relationships among operations, patterns, and functions.",,,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b62a4047-1d59-4438-98a9-2fdd12a011f8,2016-09-06 T12:54,75250,76423,1,H.A.MATH.GM,H,A,MATH,,,,,,,Holistic Framework,Core Academics,Math,,,,,,,MCB,,GM,Geometry and Measurement,The properties and measurements of and relationships among two and three dimensional shapes,,,,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d74e3be4-36e2-471b-b9ee-0a0f06389287,2016-09-06 T12:54,75394,76567,1,H.A.MATH.SP,H,A,MATH,,,,,,,Holistic Framework,Core Academics,Math,,,,,,,MCB,,SP,Statistics and Probability,"Processes to calculate and interpret chance, distributions, descriptive statistics, and inferential statistics.",,,,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b3e8dd7-402a-4355-9cf1-967c80108708,2016-09-06 T12:54,74931,76104,1,H.A.MATH.NQ.CC,H,A,MATH,NQ,,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,,,,,,MCB,,CC,Counting and Cardinality,"The order of the number words, application of counting principles, and skills to compare the quantities in sets",,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caf6b29f-38d9-408b-821a-1e38ffceebee,2016-09-06 T12:54,74958,76131,1,H.A.MATH.NQ.QE,H,A,MATH,NQ,,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,,,,,,MCB,,QE,Quantity Estimation,Approximating the number of objects in a set,,,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ea413f0-c12c-4908-ac7d-d1aaddabd4d0,2016-09-06 T12:54,74963,76136,1,H.A.MATH.NQ.WN,H,A,MATH,NQ,,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,,,,,,MCB,,WN,Whole Numbers,"The names, cardinal size, and structure of non-decimal numbers in the base ten system, naming and comparing whole numbers, and performing operations with whole numbers",,,,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5cd0a5f-76e4-41a7-9d99-50bbdb582d26,2016-09-06 T12:54,74987,76160,1,H.A.MATH.NQ.FC,H,A,MATH,NQ,,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,,,,,,MCB,,FC,Fraction Concepts,The value and representations of numbers expressible in the form a/b where a and b are whole numbers,,,,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32a08d7d-982e-43e4-be4d-5653e6b6eb52,2016-09-06 T12:54,75008,76181,1,H.A.MATH.NQ.D,H,A,MATH,NQ,,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,,,,,,MCB,,D,Decimals,"Numbers represented as fractions with denominators that are powers of ten (e.g., 7/100 = 0.07)",,,,,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33a1a507-1ae5-4362-8159-2e7a60adfd13,2016-09-06 T12:54,75028,76201,1,H.A.MATH.NQ.SN,H,A,MATH,NQ,,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,,,,,,MCB,,SN,Signed Numbers,Understanding numbers which may be less than zero.,,,,,0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96264b2b-8377-4c59-b8ef-18b1268b01b4,2016-09-06 T12:54,75037,76210,1,H.A.MATH.NQ.RCN,H,A,MATH,NQ,,,,,,Holistic Framework,Core Academics,Math,Number and Quantity,,,,,,MCB,,RCN,Real and Complex Numbers,Understand and use numbers outside of the rational number system,,,,,0,"Rachlin & NCTM, 2006",,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
