"Identifier","fullStatement","humanCodingScheme","IsRelatedTo","","","","","","","","","","","",""
"a50da67e-5cd5-4791-a483-ab2599ea0230","ELA","OLO.11-12","CCSS.ELA-Literacy.RI.11-12.5","","","","","","","","","","","",""
"975acb00-629d-488d-9c57-d813e7fbd888","Argumentative Text: Evaluate arguments and reasoning.","OLO.11-12.AT","CCSS.ELA-Literacy.RI.11-12.5","","","","","","","","","","","",""
"6ed3c324-b0bf-4749-82f8-1dfb9531fb95","Evaluate whether the structure chosen by the author makes the argument of a text convincing and engaging.","OLO.11-12.AT.1","CCSS.ELA-Literacy.RI.11-12.5","","","","","","","","","","","",""
"d8c86ece-d7dd-4f7c-9490-70b599d4341f","Determine whether the rhetoric of a text strongly and persuasively supports the author's point of view and purpose.","OLO.11-12.AT.2","CCSS.ELA-Literacy.RI.11-12.6","","","","","","","","","","","",""
"cdc5d66b-eed7-4ec7-bc12-e1f07187e2f6","Delineate the arguments an author uses to advocate for social, economic, or political issues.","OLO.11-12.AT.3","CCSS.ELA-Literacy.RI.11-12.8","","","","","","","","","","","",""
"fec18a61-5e6d-4293-8c22-02078e1cd838","Delineate the reasoning used to support arguments made for advocacy of social, economic, and political issues.","OLO.11-12.AT.4","CCSS.ELA-Literacy.RI.11-12.8","","","","","","","","","","","",""
"4c90e52e-f644-42cf-b517-7f3b92d1c4d7","Identify constitutional principles applied to issues in a text (e.g. the issue of free speech).","OLO.11-12.AT.5","CCSS.ELA-Literacy.RI.11-12.8","","","","","","","","","","","",""
"611c4509-2a17-47b5-a730-426e70d3087f","Identify the legal reasoning found in a text (e.g. the Brown v. Board of Education decision regarding the legality of ""separate but equal"").","OLO.11-12.AT.6","CCSS.ELA-Literacy.RI.11-12.8","","","","","","","","","","","",""
"1a73843d-5409-4f96-ab24-d70f7cf655e8","Delineate the reasoning used to apply and support constitutional principles in a text (e.g. The Tennessee ratification of the 19th amendment in 1920).","OLO.11-12.AT.7","CCSS.ELA-Literacy.RI.11-12.8","","","","","","","","","","","",""
"ae4e0f12-22a9-458e-adad-5e5a28fc3aeb","Delineate the reasoning used to argue and support landmark legal cases (e.g. Miranda v. Arizona (1966)).","OLO.11-12.AT.8","CCSS.ELA-Literacy.RI.11-12.8","","","","","","","","","","","",""
