OLO ID,OLO GUID,CCSS ID,CCSS AB GUID,Standard Group,Grade Group,Category,OLO Description
OLO.LT.11.12.1,18332fa9-bee7-4463-a464-59160896c332,11-12.RL.1,,OLO.ELA,High School,Literary Text,Cite strong textual evidence to analyze explicit meaning found in a literary text.
OLO.LT.11.12.2,74f1e8bc-c90f-48a7-814a-46bcca179879,11-12.RL.1,,OLO.ELA,High School,Literary Text,Cite strong textual evidence to analyze inferences drawn from a literary text.
OLO.LT.11.12.3,5a4694d1-dd5f-45db-8d0f-9bbcb95cad93,11-12.RL.1,,OLO.ELA,High School,Literary Text,Determine the ideas and details in a literary text that are left unclear or uncertain.
OLO.LT.11.12.4,a46ce657-6488-4cfa-929f-3ffdcddb23ac,11-12.RL.2,,OLO.ELA,High School,Literary Text,Determine whether a literary text has two or more themes.
OLO.LT.11.12.5,ea288977-3f7d-476a-9d22-856234ec1911,11-12.RL.2,,OLO.ELA,High School,Literary Text,Distinguish the relative importance and order of multiple themes.
OLO.LT.11.12.6,411175c6-422f-47eb-bb4c-0c734ac5479c,11-12.RL.2,,OLO.ELA,High School,Literary Text,Analyze how multiple themes interact and build on one another.
OLO.LT.11.12.7,c6661cf9-4f5c-4bb2-a53b-f5a61698673c,11-12.RL.2,,OLO.ELA,High School,Literary Text,Provide an objective summary of a literary text including its theme(s).
OLO.LT.11.12.8,e37ce8fe-c367-472e-9fee-fa4bcdafdbc6,11-12.RL.3,,OLO.ELA,High School,Literary Text,"Identify how the author develops the setting, plot, and characters in a narrative or drama."
OLO.LT.11.12.9,67b2cb2c-f84a-4666-8b40-5cbab2a844f5,11-12.RL.3,,OLO.ELA,High School,Literary Text,"Analyze how an author establishes relationships between setting, characters, and plot in a narrative."
OLO.LT.11.12.10,ce2b1a7b-217b-47d9-b911-a47197a58d2e,11-12.RL.3,,OLO.ELA,High School,Literary Text,"Analyze how an author establishes relationships between setting, characters, and plot in a drama."
OLO.V.11.12.1,7dfae9cd-528d-4f0f-9578-b47075b3f976,11-12.RL.4,,OLO.ELA,High School,Vocabulary,Determine the literal and denotative meaning of words and phrases in a literary text.
OLO.V.11.12.2,cff399b0-fd55-4f9d-8070-258f82e9944a,11-12.RL.4,,OLO.ELA,High School,Vocabulary,Determine the figurative and connotative meaning of words and phrases in a literary text.
OLO.V.11.12.3,b193400c-5e83-4353-823e-7514ceb30528,11-12.RL.4,,OLO.ELA,High School,Vocabulary,Analyze how the diction of the author can impact the meaning in a literary text.
OLO.V.11.12.4,b95ac96a-47db-4fe2-b578-0132873bdb9f,11-12.RL.4,,OLO.ELA,High School,Vocabulary,Analyze how the diction the author uses can impact the tone in a literary text.
OLO.V.11.12.5,8e20bd16-df45-4ba5-a804-aa05c5f1b8b8,11-12.RL.4,,OLO.ELA,High School,Vocabulary,Analyze changes in the language chosen by authors from one time period to the next. 
OLO.V.11.12.6,396b39ed-5519-489d-8e7b-150bba222740,11-12.RL.4,,OLO.ELA,High School,Vocabulary,Analyze the language that authors from different cultures have chosen.
OLO.LT.11.12.11,65574a59-a778-4938-9315-f19fcb9931b8,11-12.RL.5,,OLO.ELA,High School,Literary Text,Determine the narrative structure that an author has chosen for a literary text.
OLO.LT.11.12.12,431169ac-c9bd-47bf-ae2b-0e09f75786c7,11-12.RL.5,,OLO.ELA,High School,Literary Text,Analyze how the narrative structure chosen by the author contributes to the meaning of a literary text.
OLO.LT.11.12.13,94dc20fe-7bf8-45b3-b149-7f8038550656,11-12.RL.6,,OLO.ELA,High School,Literary Text,"Analyze satire, understatement, or other cases of indirection in the point of view of a narrator or character."
OLO.LT.11.12.14,3eae1c3b-a477-4ab1-91cf-16f71f58fa0b,11-12.RL.6,,OLO.ELA,High School,Literary Text,Determine to what degree the text presents an unreliable narrator or a character as an antihero.
OLO.LT.11.12.15,17531f12-4069-4c85-a41e-e95d97d85dbe,11-12.RL.7,,OLO.ELA,High School,Literary Text,Analyze two or more interpretations of a narrative presented in diverse media and formats.
OLO.LT.11.12.16,f829a8fb-2c85-48ef-985d-b47e84f4f16e,11-12.RL.7,,OLO.ELA,High School,Literary Text,Analyze two or more interpretations of poetry presented in diverse media and formats.
OLO.LT.11.12.17,646b46af-a7c8-4e2f-aec3-4fa482750aeb,11-12.RL.7,,OLO.ELA,High School,Literary Text,Analyze two or more interpretations of a drama presented in diverse media and formats.
OLO.LT.11.12.18,4602ddf7-1445-4bec-ba81-849677e346c0,11-12.RL.9,,OLO.ELA,High School,Literary Text,Recognize foundational works of American literature from the 18th-20th centuries.
OLO.LT.11.12.19,f2f458fe-7efb-4b2a-b62a-f2b6eaa9a932,11-12.RL.9,,OLO.ELA,High School,Literary Text,Recognize topics common to American literature from the 18th-20th centuries.
OLO.LT.11.12.20,0a5c9cd0-74c7-45ff-85b6-e05ea44dbf1b,11-12.RL.9,,OLO.ELA,High School,Literary Text,Recognize themes common to American literature from the 18th-20th centuries.
OLO.LT.11.12.21,19ed9f20-b65e-4a76-9514-22f850afc71e,11-12.RL.9,,OLO.ELA,High School,Literary Text,Determine how two or more literary texts from the same time period have similar themes or topics.
